(272, 384, 801, 432),
(49, 64, 81, 160),
(16, 96, 302, 139),
(15, 138, 256, 143),
(250, 130, 467, 137),
(301, 109, 479, 158),
(256, 140, 300, 144),
(249, 132, 312, 141),
(281, 133, 314, 152),
(271, 140, 302, 157),
(176, 31, 239, 159),
(15, 383, 238, 478),
(16, 478, 223, 496),
(237, 416, 271, 447),
(232, 382, 239, 416),
(268, 413, 300, 445),
(371, 429, 800, 449),
(732, 446, 993, 465),
(832, 400, 994, 445),
(992, 398, 1008, 433),
(832, 438, 994, 450),
(824, 29, 1006, 88),
(849, 88, 991, 142),
(990, 85, 1015, 119),
(1004, 61, 1023, 84),
(463, 77, 848, 96),
(784, 45, 828, 81),
(826, 71, 879, 94),
(825, 80, 890, 109),
(832, 593, 1022, 624),
(832, 479, 880, 513),
(992, 478, 1022, 511),
(288, 559, 402, 671),
(370, 450, 402, 560),
(370, 444, 402, 462),
(481, 210, 578, 318),
(572, 221, 640, 287),
(564, 278, 606, 319),
(591, 205, 623, 219),
(594, 214, 619, 224),
(591, 218, 595, 221),
(620, 213, 630, 221),
(846, 209, 931, 336),
(848, 383, 897, 400),
(235, 45, 303, 97),
(301, 30, 485, 44),
(369, 46, 402, 109),
(370, 36, 391, 53),
(364, 36, 401, 56),
(463, 45, 497, 80),
(463, 37, 483, 51),
(239, 208, 303, 320),
(320, 208, 352, 321),
(368, 207, 402, 320),
(413, 206, 462, 319),
(143, 209, 177, 320),
(189, 208, 225, 319),
(92, 208, 129, 319),
(81, 206, 480, 238),
(477, 205, 577, 239),
(81, 288, 604, 314),
(31, 300, 605, 319),
(35, 253, 518, 272),
(17, 272, 77, 299),
(72, 269, 80, 300),
(77, 286, 85, 295),
(75, 290, 89, 299),
(71, 293, 93, 304),
(15, 294, 91, 305),
(110, 316, 145, 387),
(173, 313, 239, 320),
(273, 443, 304, 481),
(303, 446, 373, 488),
(320, 427, 353, 452),
(294, 424, 304, 447),
(367, 427, 378, 451),
(288, 480, 368, 496),
(361, 486, 374, 497),
(271, 578, 293, 651),
(271, 648, 295, 653),
(15, 542, 48, 672),
(61, 543, 94, 672),
(110, 544, 145, 672),
(157, 543, 193, 672),
(207, 543, 240, 656),
(187, 639, 211, 671),
(31, 607, 219, 621),
(34, 576, 221, 590),
(42, 542, 213, 560),
(35, 615, 219, 624),
(33, 639, 217, 655),
(37, 645, 223, 672),
(785, 241, 828, 300),
(976, 208, 992, 334),
(986, 224, 1009, 316),
(816, 208, 853, 238),
(818, 235, 834, 336),
(822, 284, 865, 335),
(826, 253, 862, 267),
(824, 260, 861, 271),
(929, 207, 977, 237),
(927, 289, 983, 334),
(960, 271, 978, 291),
(960, 232, 978, 252),
(962, 248, 977, 256),
(988, 312, 1001, 323),
(129, 142, 176, 158),
(129, 156, 177, 159),
(70, 132, 95, 160),
(464, 97, 479, 110),
(464, 91, 480, 101),
(831, 511, 850, 599),
(993, 509, 1023, 512),
(1021, 477, 1023, 510),
(670, 284, 753, 303),
(686, 301, 735, 319),
(689, 206, 735, 240),
(739, 223, 752, 284),
(729, 222, 741, 250),
(720, 238, 744, 256),
(722, 271, 741, 287),
(669, 238, 705, 254),
(672, 222, 692, 241),
(673, 251, 689, 286),
(685, 270, 702, 286),
(670, 252, 679, 282),
(699, 269, 705, 285),
(959, 14, 1008, 30),
(818, 24, 824, 42),
(819, 37, 826, 50),
(810, 35, 837, 55),
(814, 22, 822, 38),
(925, 232, 946, 254),
(926, 269, 944, 290),
(272, 30, 306, 51),
(298, 36, 371, 50),
(545, 607, 736, 639),
(563, 560, 728, 575),
(545, 576, 578, 611),
(719, 577, 735, 609),
(717, 573, 731, 584),
(729, 576, 735, 604),
(670, 573, 688, 609),
(605, 573, 628, 616),
(680, 568, 687, 613),
(677, 568, 691, 616),
(558, 634, 719, 658),
(563, 570, 574, 589),
(571, 569, 577, 589),
(576, 91, 592, 207),
(704, 313, 719, 399),
(879, 132, 896, 229),
(855, 207, 940, 214),
(848, 139, 992, 143),
(851, 138, 989, 144),
(921, 325, 991, 337),
(63, 664, 80, 702),
(64, 699, 80, 703),
(221, 672, 239, 703),
(1020, 477, 1023, 513),
(1018, 481, 1019, 478),
(1020, 612, 1022, 596),
(1018, 592, 1022, 625),
(1021, 476, 1023, 511),
(1023, 513, 1023, 497),
(1023, 482, 1023, 491),
(1022, 500, 1022, 503),
(1022, 492, 981, 482),
(1021, 591, 1022, 623),
(368, 489, 384, 566),
(999, 77, 1023, 110),
(578, 79, 591, 232),
